"id","sequence","name","name@es","name@ca","auto_apply","vat_required","state_ids","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,,,,,,,"account_tax_template_igic_sop_3","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_5_inv","account_tax_template_igic_sop_5_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_5_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_5","account_tax_template_igic_sop_5",,
,,,,,,,,,,"account_tax_template_igic_sop_5","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_7_inv","account_tax_template_igic_sop_7_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_7_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_7","account_tax_template_igic_sop_7",,
,,,,,,,,,,"account_tax_template_igic_sop_7","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5_inv","account_tax_template_igic_sop_9_5_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5","account_tax_template_igic_sop_9_5",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_15_inv","account_tax_template_igic_sop_15_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_15_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_15","account_tax_template_igic_sop_15",,
,,,,,,,,,,"account_tax_template_igic_sop_15","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_20_inv","account_tax_template_igic_sop_20_inv",,
,,,,,,,,,,"account_tax_template_igic_sop_20_inv","account_tax_template_p_irpf15",,
,,,,,,,,,,"account_tax_template_igic_sop_20","account_tax_template_igic_sop_20",,
,,,,,,,,,,"account_tax_template_igic_sop_20","account_tax_template_p_irpf15",,

"fp_irpf19a_canary",,"Retención IRPF 19% arrendamientos Islas Canarias","Retención IRPF 19% arrendamientos Islas Canarias","Retención IRPF 19% arrendamientos Islas Canarias",,,,"base.es",,,,,
,,,,,,,,,,"account_tax_template_igic_r_0","account_tax_template_igic_r_0",,
,,,,,,,,,,"account_tax_template_igic_r_0","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_1","account_tax_template_igic_r_1",,
,,,,,,,,,,"account_tax_template_igic_r_1","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_3","account_tax_template_igic_r_3",,
,,,,,,,,,,"account_tax_template_igic_r_3","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_igic_r_5",,
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_igic_r_7",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_igic_r_9_5",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_igic_r_15",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_s_irpf19a",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_igic_r_20",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_s_irpf19a",,
